(1, 38, 0)	1	0	2450	725	8	7
(38, 1, 0)	2	0	723	2661	5	5
(1, 39, 0)	1	0	6411	114	11	10
(39, 1, 0)	2	0	114	6434	13	13
(1, 40, 0)	1	0	5100	12629	8	7
(40, 1, 0)	2	0	18824	4617	7	7
(1, 41, 0)	1	0	4542	22986	12	11
(41, 1, 0)	2	0	46887	7567	15	15
(1, 42, 0)	1	0	4077	5645	6	5
(42, 1, 0)	2	0	13004	5447	12	12
(1, 43, 0)	1	0	7494	1373	7	6
(43, 1, 0)	2	0	2253	4872	10	10
(1, 44, 0)	1	0	3494	2691	5	4
(44, 1, 0)	2	0	2692	6513	4	4
(1, 45, 0)	1	0	3295	234	9	8
(45, 1, 0)	2	0	108	3243	8	8
(1, 46, 0)	1	0	10349	10090	9	8
(46, 1, 0)	2	0	6493	4995	5	5
(1, 47, 0)	1	3	2510	7739	3	3
(47, 1, 0)	2	3	8433	6242	3	2
(2, 3, 0)	1	0	17183	30977	20	19
(3, 2, 0)	2	0	25436	8347	11	11
(2, 4, 0)	1	0	21641	37360	24	23
(4, 2, 0)	2	0	25832	9884	17	17
(2, 5, 0)	1	4	1413	0	1	0
(5, 2, 0)	2	4	0	0	0	0
(2, 6, 0)	1	0	21739	54556	18	17
(6, 2, 0)	1	0	44572	10658	11	10
(2, 7, 0)	1	0	31280	33990	24	23
(7, 2, 0)	1	0	10720	6666	12	11
(2, 8, 0)	1	0	57981	67615	34	33
(8, 2, 0)	2	0	49635	21209	20	20
(2, 9, 0)	1	0	53081	33710	30	29
(9, 2, 0)	2	0	17313	16065	15	15
(2, 10, 0)	1	0	31039	30449	23	22
(10, 2, 0)	2	0	4213	9233	17	17
(2, 11, 0)	1	0	29575	69327	25	24
(11, 2, 0)	2	0	52751	21202	21	21
(2, 12, 0)	1	0	26106	16005	23	22
(12, 2, 0)	2	0	26128	17736	28	28
(2, 13, 0)	1	0	26196	31661	16	15
(13, 2, 0)	2	0	10708	7785	7	7
(2, 14, 0)	1	0	47466	78469	36	35
(14, 2, 0)	2	0	23963	5249	21	21
(2, 15, 0)	1	0	14922	20521	18	17
(15, 2, 0)	2	0	26874	17549	21	21
(2, 16, 0)	1	0	12111	28020	14	13
(16, 2, 0)	2	0	34283	3913	13	13
(2, 17, 0)	1	0	26107	35524	23	22
(17, 2, 0)	2	0	35020	8905	17	17
(2, 18, 0)	1	0	19143	50836	20	19
(18, 2, 0)	2	0	23929	4062	12	12
(2, 19, 0)	1	0	10748	19170	13	12
(19, 2, 0)	2	0	17401	4133	14	14
(2, 20, 0)	1	0	26446	55000	34	33
(20, 2, 0)	2	0	32499	12936	13	13
(2, 21, 0)	1	0	8897	14082	20	19
(21, 2, 0)	2	0	20505	5379	24	24
(2, 22, 0)	1	0	13220	37375	18	17
(22, 2, 0)	2	0	16436	2471	9	9
(2, 23, 0)	1	0	9570	37572	15	14
(23, 2, 0)	2	0	32986	7813	12	12
(2, 24, 0)	1	0	18811	60500	18	17
(24, 2, 0)	2	0	44659	12143	13	13
(2, 25, 0)	1	0	17447	3151	18	17
(25, 2, 0)	2	0	1574	4374	8	8
(2, 26, 0)	1	0	7180	3474	11	10
(26, 2, 0)	2	0	6410	9906	16	16
(2, 27, 0)	1	0	4322	8129	8	7
(27, 2, 0)	2	0	17314	1382	10	10
(2, 28, 0)	1	0	14165	40072	14	13
(28, 2, 0)	2	0	54923	6729	13	13
(2, 29, 0)	1	0	7102	522	11	10
(29, 2, 0)	2	0	427	7749	9	9
(2, 30, 0)	1	0	5519	11292	12	11
(30, 2, 0)	2	0	16798	9226	13	13
(2, 31, 0)	1	0	13324	22101	11	10
(31, 2, 0)	2	0	20966	4593	11	11
(2, 32, 0)	1	0	6259	8020	10	9
(32, 2, 0)	2	0	15544	8589	14	14
(2, 33, 0)	1	0	5708	48	10	9
(33, 2, 0)	2	0	1	2548	8	8
(2, 34, 0)	1	0	7361	41	8	7
(34, 2, 0)	2	0	6	6009	10	10
(2, 35, 0)	1	0	7079	8209	9	8
(35, 2, 0)	2	0	8345	4044	8	8
(2, 36, 0)	1	0	15455	12413	13	12
(36, 2, 0)	2	0	16510	10674	14	14
(2, 37, 0)	1	0	17581	808	13	12
(37, 2, 0)	2	0	1198	1615	7	7
(2, 38, 0)	1	0	6388	1824	12	11
(38, 2, 0)	2	0	716	1693	5	5
(2, 39, 0)	1	0	7724	4	10	9
(39, 2, 0)	2	0	7	4137	8	8
(2, 40, 0)	1	0	5350	14626	8	7
(40, 2, 0)	2	0	18636	3657	9	9
(2, 41, 0)	1	0	24748	42122	13	12
(41, 2, 0)	2	0	42494	5411	15	15
(2, 42, 0)	1	0	7083	14901	14	13
(42, 2, 0)	2	0	14207	11368	11	11
(2, 43, 0)	1	0	7409	2140	10	9
(43, 2, 0)	2	0	4124	8900	15	15
(2, 44, 0)	1	0	3376	3587	6	5
